Hotel_State,Hotel_City,Hotel_Pin,Hotel_Category,Hotel_Name,Hotel_GPS_Cods,Hotel_Map_Links,Hotel_Rating,Hotel_Stars,Hotel_Address,Hotel_Price,Hotel_AddOns_1,Hotel_AddOns_2,Hotel_AddOns_3,Hotel_AddOns_4
Maharashtra,Ganpatipule,415615,H,Viki Holiday Home Ganpatipule,"17.165368638334048, 73.27730081938478",https://www.google.com/maps/place/Viki+Holiday+Home+Ganpatipule/data=!4m8!3m7!1s0x3bea054ca5ff7c53:0xa3fc8d977db71de0!5m2!4m1!1i2!8m2!3d17.165097!4d73.277274?authuser=0&hl=en&rclk=1,4.4,3,"Near White lotus pool, At post Malgund Ganpatipule, Ratnagiri, Rahataghar, Ganpatipule, Maharashtra 415615",4744,Free parking,Air-conditioned,Airport shuttle,Pet-friendly
Maharashtra,Ganpatipule,415615,H,Ganeshkrupa Deluxe,"17.148102544554142, 73.27204550404291",https://www.google.com/maps/place/Ganeshkrupa+Deluxe/data=!4m8!3m7!1s0x3bea1b5e4fb46755:0x9bf59414df756193!5m2!4m1!1i2!8m2!3d17.1479334!4d73.2720616?authuser=0&hl=en&rclk=1,3.7,3,"SH-04, Jaigad Pawas, Road, Ganpatipule, Maharashtra 415615",1404,Air-conditioned,Pet-friendly,,
Maharashtra,Ganpatipule,415615,H,Oceano Retreat,"17.13683613769882, 73.2698609733594",https://www.google.com/maps/place/Oceano+Retreat/data=!4m8!3m7!1s0x3bea1004b2022471:0x4de1c8b84e84e2a!5m2!4m1!1i2!8m2!3d17.1365337!4d73.2699629?authuser=0&hl=en&rclk=1,4.4,2,"47P9+JX8, Ganpatipule, Maharashtra 415615",12450,Beach access,Air-conditioned,,
Maharashtra,Ganpatipule,415622,H,Hotel Daryasarang Palace,"17.150365338935142, 73.27188117151188",https://www.google.com/maps/place/Hotel+Daryasarang+Palace/data=!4m8!3m7!1s0x3bea1aaa36318789:0x1edbcf96dbedf99!5m2!4m1!1i2!8m2!3d17.150217!4d73.272058?authuser=0&hl=en&rclk=1,3.6,2,"At Post Ganpatipule,Near Ganpatipule S.T. Stand,, Tal. - Dist. - Ratnagiri., Ganpatipule, Maharashtra 415622",774,Air-conditioned,,,
Maharashtra,Ganpatipule,415615,H,Center Point Residency,"17.14978519483123, 73.27323518685344",https://www.google.com/maps/place/Center+Point+Residency/data=!4m8!3m7!1s0x3bea1aaa5ef909ed:0x4f32eafb9c4896a1!5m2!4m1!1i2!8m2!3d17.149606!4d73.273369?authuser=0&hl=en&rclk=1,4.1,2,"Prachin Konkan Road, At Post, Ganpatipule, Maharashtra 415615",1240,Air-conditioned,Airport shuttle,Pet-friendly,
Maharashtra,Ganpatipule,415615,H,vijay villa homestay,"17.142711214890078, 73.2738122328782",https://www.google.com/maps/place/vijay+villa+homestay/data=!4m8!3m7!1s0x3bea100180e30299:0xfb3b1b55f1384966!5m2!4m1!1i2!8m2!3d17.1424703!4d73.2738176?authuser=0&hl=en&rclk=1,4.2,3,"Ganpatipule, Maharashtra 415615",8067,,,,
Maharashtra,Ganpatipule,415615,H,GVR-Sarthak Guest House,"17.142634653949674, 73.27350511753662",https://www.google.com/maps/place/GVR-Sarthak+Guest+House/data=!4m8!3m7!1s0x3bea100181d7961f:0xa7da5614faeb595e!5m2!4m1!1i2!8m2!3d17.142445!4d73.2735534?authuser=0&hl=en&rclk=1,4.1,3,"Opp Vijay Villa Home stay Ratnagiri Road, Ganpatipule, Maharashtra 415615",999,Air-conditioned,,,
Maharashtra,Ganpatipule,415615,H,Yashwant Niwas,"17.14755592574333, 73.26752107705532",https://www.google.com/maps/place/Yashwant+Niwas/data=!4m8!3m7!1s0x3bea1aa82a6d4b29:0x1e7c575da71f3e39!5m2!4m1!1i2!8m2!3d17.1474893!4d73.2674728?authuser=0&hl=en&rclk=1,3.8,3,"At Post Ganpatipule, Ratnagiri, Maharashtra 415615",675,Beach access,Air-conditioned,,
Maharashtra,Ganpatipule,415615,H,kapil lodge,"17.15004160177611, 73.26806470589074",https://www.google.com/maps/place/kapil+lodge/data=!4m8!3m7!1s0x3bea1bb0a9a85ad3:0x62bdf70467e1b313!5m2!4m1!1i2!8m2!3d17.1498212!4d73.2680057?authuser=0&hl=en&rclk=1,4.1,3,"47X9+W6C, Ganpatipule, Maharashtra 415615",5348,,,,
Maharashtra,Ganpatipule,415615,H,SACHIN LODGE,"17.14596005055191, 73.27037403103039",https://www.google.com/maps/place/SACHIN+LODGE/data=!4m8!3m7!1s0x3bea11020f4110a1:0xf4bab580589f4221!5m2!4m1!1i2!8m2!3d17.1457704!4d73.2704545?authuser=0&hl=en&rclk=1,4,3,"Shop No.1, Ratnasagar Nivas, Ganpatipule, Maharashtra 415615",6900,,,,
Maharashtra,Ganpatipule,415615,H,"Blue Ocean Resort and Spa , Ganpatipule","17.17971661539799, 73.25794744637243","https://www.google.com/maps/place/Blue+Ocean+Resort+and+Spa+,+Ganpatipule/data=!4m8!3m7!1s0x3bea0d22b314f62f:0xd7222cf5ca7e771b!5m2!4m1!1i2!8m2!3d17.179568!4d73.257985?authuser=0&hl=en&rclk=1",4.1,5,"S.No.127, Malgund, Ganpatipule, Maharashtra 415615",7271,Pool,Spa,Free parking,Free breakfast
Maharashtra,Ganpatipule,415615,H,Hotel Deepak Executive,"17.15097099717727, 73.27494013287833",https://www.google.com/maps/place/Hotel+Deepak+Executive/data=!4m8!3m7!1s0x3bea1b43e39f7a07:0x64fe723f7d26c980!5m2!4m1!1i2!8m2!3d17.1507711!4d73.2749455?authuser=0&hl=en&rclk=1,4.8,3,"opp. Prachin Konkan, Shreekshetra, Rajwadi, Ganpatipule, Maharashtra 415615",4503,Pool,Free parking,Free breakfast,Free Wi-Fi
Maharashtra,Ganpatipule,415615,H,The Atharva Inn,"17.165167827069773, 73.26759831753694",https://www.google.com/maps/place/The+Atharva+Inn/data=!4m8!3m7!1s0x3bea1aae9e931e1f:0x6652af031106b8db!5m2!4m1!1i2!8m2!3d17.1650192!4d73.2676466?authuser=0&hl=en&rclk=1,4.3,2,"Bhave Agar, Malgund, Ganpatipule, Maharashtra 416415",1745,Free parking,Air-conditioned,,
Maharashtra,Ganpatipule,415615,H,Swamiban,"17.142353440914945, 73.27397173103034",https://www.google.com/maps/place/Swamiban/data=!4m8!3m7!1s0x3bea11bef3bec6fb:0x82f9867da3c59656!5m2!4m1!1i2!8m2!3d17.1422253!4d73.2740522?authuser=0&hl=en&rclk=1,4.8,3,"Near Bank Of India Rest House Front of Swayambhu Hotel SH4, Nivali Road, Ganpatipule, Maharashtra 415615",1339,,,,
Maharashtra,Ganpatipule,415620,H,MANGO VALLEY RESORT Ganpatipule,"17.104372701631945, 73.29528460589002",https://www.google.com/maps/place/MANGO+VALLEY+RESORT+Ganpatipule/data=!4m8!3m7!1s0x3bea0e248cf523f9:0x8b499129ddf12ae!5m2!4m1!1i2!8m2!3d17.1041625!4d73.2952256?authuser=0&hl=en&rclk=1,4.6,2,"S.No.306, Old Nevre Kotawade Road Aaare-Ware Beach Road, Nevre, near Ganpatipule, Maharashtra 415620",2797,Pool,Free parking,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,004",H,Treebo Trend Ranjeet-Hotel near deccan,"18.518991613066774, 73.8363202175563",https://www.google.com/maps/place/Treebo+Trend+Ranjeet-Hotel+near+deccan/data=!4m8!3m7!1s0x3bc2bf8679f15615:0x6cf30595ed987780!5m2!4m1!1i2!8m2!3d18.518773!4d73.836368?authuser=0&hl=en&rclk=1,4.2,1,"87/7 Bhandarkar Road, Lane No. 10, near HDFC Bank, Deccan Gymkhana, Pune, Maharashtra 411004",2296,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,013",H,Cocoon Hotel,"18.509399373062774, 73.92848564639165",https://www.google.com/maps/place/Cocoon+Hotel/data=!4m8!3m7!1s0x3bc2c1f3bdc1277b:0xe9ad1c0d062ec9ee!5m2!4m1!1i2!8m2!3d18.50916!4d73.928523?authuser=0&hl=en&rclk=1,4.2,3,"Magarpatta Rear Approach, near Destination Center, Magarpatta, Hadapsar, Pune, Maharashtra 411013",3992,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Maharashtra,Pune,"4,11,009",H,Hotel Ravikant- | BEST BUDGET HOTEL IN PUNE SATARA ROAD SWARGATE KATRAJ PUNE MAHARASHTRA |,"18.474897317588113, 73.85585634454334",https://www.google.com/maps/place/Hotel+Ravikant-+%7C+BEST+BUDGET+HOTEL+IN+PUNE+SATARA+ROAD+SWARGATE+KATRAJ+PUNE+MAHARASHTRA+%7C/data=!4m8!3m7!1s0x3bc2eaa50675451d:0xcc9bc76c5544c296!5m2!4m1!1i2!8m2!3d18.4746989!4d73.855969?authuser=0&hl=en&rclk=1,3.5,2,"Sy No. 17/1/1, Plot No. 1, Padmavati Corner, Satara Rd, Pune, Maharashtra 411009",1711,Restaurant,,,
Maharashtra,Pune,"4,11,005",H,The Pride Hotel Pune,"18.531503924506502, 73.84734884823979",https://www.google.com/maps/place/The+Pride+Hotel+Pune/data=!4m8!3m7!1s0x3bc2c085264f9eb5:0x8c2d2842d79a25a0!5m2!4m1!1i2!8m2!3d18.5312954!4d73.8473113?authuser=0&hl=en&rclk=1,4,5,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",4606,Pool,Spa,Free parking,Free breakfast
Maharashtra,Pune,"4,11,001",H,"The Central Park Hotel, Pune","18.527693493037695, 73.87846438687323","https://www.google.com/maps/place/The+Central+Park+Hotel,+Pune/data=!4m8!3m7!1s0x3bc2c057697c2577:0xd161f69b35d670bd!5m2!4m1!1i2!8m2!3d18.5274341!4d73.8785985?authuser=0&hl=en&rclk=1",4.1,4,"Bund Garden Rd, Near Inox multiplex, Agarkar Nagar, Pune, Maharashtra 411001",1764,Pool,Spa,Free parking,Free breakfast
Maharashtra,Pune,"4,11,004",H,"Ramee Grand Hotel and Spa, Pune","18.5205647450653, 73.84323722920229","https://www.google.com/maps/place/Ramee+Grand+Hotel+and+Spa,+Pune/data=!4m8!3m7!1s0x3bc2c19086ab5ac7:0xefed6582a45cece2!5m2!4m1!1i2!8m2!3d18.5203969!4d73.8433928?authuser=0&hl=en&rclk=1",4.2,4,"CST No. 1221/C, Plot No. 587, Apte Rd, Shivajinagar, Pune, Maharashtra 411004",4786,Pool,Spa,Free parking,Free breakfast
Maharashtra,Pune,411001,H,Conrad Pune,"18.53536895370611, 73.88292911570878",https://www.google.com/maps/place/Conrad+Pune/data=!4m8!3m7!1s0x3bc2c0fe9a07d0ab:0xe8b6e5fd4b49952b!5m2!4m1!1i2!8m2!3d18.5350994!4d73.8830525?authuser=0&hl=en&rclk=1,4.6,5,"7, Mangaldas Rd, Sangamvadi, Pune, Maharashtra 411001",11200,Pool,Spa,Free parking,Free Wi-Fi
Maharashtra,Pune,"4,11,001",H,Sheraton Grand Pune Bund Garden Hotel,"18.530080490459422, 73.87138364823973",https://www.google.com/maps/place/Sheraton+Grand+Pune+Bund+Garden+Hotel/data=!4m8!3m7!1s0x3bc2c05f4d08cca9:0x15888f834fad6cf7!5m2!4m1!1i2!8m2!3d18.529933!4d73.8713461?authuser=0&hl=en&rclk=1,4.5,5,"Raja Bahadur Mill Rd, Sangamvadi, Pune, Maharashtra 411001",8657,Pool,Spa,Free parking,Free Wi-Fi
Maharashtra,Pune,"4,11,037",H,Hotel Utsav Deluxe,"18.489232725926147, 73.85786164823921",https://www.google.com/maps/place/Hotel+Utsav+Deluxe/data=!4m8!3m7!1s0x3bc2eaa42f6913cb:0xfcbeb5a5203ce900!5m2!4m1!1i2!8m2!3d18.4890445!4d73.8578241?authuser=0&hl=en&rclk=1,4,3,"692, 1, Chaphalkar House, Near City pride multiplex, 693, Market Yard Rd, Arihant Society, Maharshi Nagar, Pune, Maharashtra 411037",3336,Free parking,Free breakfast,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,001",H,"Hotel Sagar Plaza, Pune","18.520281879285154, 73.87664863289801","https://www.google.com/maps/place/Hotel+Sagar+Plaza,+Pune/data=!4m8!3m7!1s0x3bc2eaea485f2521:0x4daf045adf850bc6!5m2!4m1!1i2!8m2!3d18.5201649!4d73.876654?authuser=0&hl=en&rclk=1",4,4,"1, Bund Garden Rd, Sangamvadi, Pune, Maharashtra 411001",4700,Pool,Free breakfast,Free Wi-Fi,Air-conditioned
Maharashtra,Pune,"4,11,004",H,Deccan 8 Hotel,"18.51944292638057, 73.83256948872102",https://www.google.com/maps/place/Deccan+8+Hotel/data=!4m8!3m7!1s0x3bc2bf84fc474475:0xab6e0eea5903dbdb!5m2!4m1!1i2!8m2!3d18.5193056!4d73.8326285?authuser=0&hl=en&rclk=1,3.8,3,"Bhandarkar Road, 820/5, 13, Prof. V. G. Kale Path, near Yes Bank, Shivajinagar, Pune, Maharashtra 411004",2005,Free breakfast,Air-conditioned,Breakfast,Wi-Fi
Maharashtra,Pune,"4,11,011",H,Hotel Rajdhani Pune station lodging,"18.522751877594022, 73.86767080221414",https://www.google.com/maps/place/Hotel+Rajdhani+Pune+station+lodging/data=!4m8!3m7!1s0x3bc2c05c4e9a9d77:0x7abc27d23c558b86!5m2!4m1!1i2!8m2!3d18.5226349!4d73.867762?authuser=0&hl=en&rclk=1,3.8,3,"100 429, Narpathgiri Chowk, Saraswat Colony, Somwar Peth, Pune, Maharashtra 411011",1821,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,011",H,Shantai Hotel,"18.519793131779732, 73.87093513289798",https://www.google.com/maps/place/Shantai+Hotel/data=!4m8!3m7!1s0x3bc2c068230116d1:0x8a71943f7d23e1df!5m2!4m1!1i2!8m2!3d18.5195439!4d73.8709405?authuser=0&hl=en&rclk=1,4.2,3,"Cam 10/3, Moledina Rd, Rasta Peth, Pune, Maharashtra 411011",2681,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Maharashtra,Pune,411053,H,JW Marriott Hotel Pune,"18.53270815790463, 73.82969680591059",https://www.google.com/maps/place/JW+Marriott+Hotel+Pune/data=!4m8!3m7!1s0x3bc2bf8a959a0e4b:0x9634475031078c60!5m2!4m1!1i2!8m2!3d18.5324386!4d73.8296378?authuser=0&hl=en&rclk=1,4.6,5,"Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411053",12300,Pool,Spa,Free parking,Free Wi-Fi
Maharashtra,Pune,"4,11,001",H,Lemon Tree Premier Pune,"18.52798186536081, 73.87668854639192",https://www.google.com/maps/place/Lemon+Tree+Premier+Pune/data=!4m8!3m7!1s0x3bc2c059dafb7ac5:0xf660a3faf554f88e!5m2!4m1!1i2!8m2!3d18.5277123!4d73.8767261?authuser=0&hl=en&rclk=1,4.3,4,"15 & 15A City Center, 40, Connaught Rd, Modi Colony, Pune, Maharashtra 411001",3387,Pool,Spa,Free parking,Free breakfast
Maharashtra,Pune,"4,11,004",H,Hotel Ketan,"18.52072657680317, 73.84067063474585",https://www.google.com/maps/place/Hotel+Ketan/data=!4m8!3m7!1s0x3bc2bf80b1f39993:0xdddaa93331e5fd5c!5m2!4m1!1i2!8m2!3d18.520457!4d73.8406009?authuser=0&hl=en&rclk=1,4.3,3,"No.917, 19A, Fergusson College Rd, Ganeshwadi, Deccan Gymkhana, Pune, Maharashtra 411004",4048,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Maharashtra,Pune,"4,11,005",H,Centurion Hotel,"18.531123452400728, 73.85007827522738",https://www.google.com/maps/place/Centurion+Hotel/data=!4m8!3m7!1s0x3bc2c0871299c65f:0x5c9cdfc0c9a1c43e!5m2!4m1!1i2!8m2!3d18.5309251!4d73.8501051?authuser=0&hl=en&rclk=1,3.9,4,"Chhatrapati Shivaji Maharaj Nagar Railway Station Rd, opposite Akashwani, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",2263,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,001",H,"Crowne Plaza Pune City Centre, an IHG Hotel","18.531452934369955, 73.87681912125224","https://www.google.com/maps/place/Crowne+Plaza+Pune+City+Centre,+an+IHG+Hotel/data=!4m8!3m7!1s0x3bc2c0fbe9bee4eb:0x6003312714e421f3!5m2!4m1!1i2!8m2!3d18.5312851!4d73.8767172?authuser=0&hl=en&rclk=1",4.2,5,"37 & 37, Cts No, 1, Bund Garden Rd, next to Jehangir Hospital, Pune, Maharashtra 411001",5473,Pool,Free parking,Free breakfast,Free Wi-Fi
Maharashtra,Pune,"4,11,001",H,O Hotel Pune,"18.54019938592109, 73.88770040406227",https://www.google.com/maps/place/O+Hotel+Pune/data=!4m8!3m7!1s0x3bc2c19de27263fb:0x8b780b415237fb3a!5m2!4m1!1i2!8m2!3d18.5399807!4d73.8877165?authuser=0&hl=en&rclk=1,4.1,5,"N Main Rd, Vaswani Nagar, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",5797,Pool,Spa,Free parking,Free Wi-Fi
Maharashtra,Pune,"4,11,004",H,Krishna Residency Pune | Business Budget Hotel | Best Hotel in Pune,"18.515157412059832, 73.82849414823957",https://www.google.com/maps/place/Krishna+Residency+Pune+%7C+Business+Budget+Hotel+%7C+Best+Hotel+in+Pune/data=!4m8!3m7!1s0x3bc2bf906cd92119:0x6984bbe798f23d9d!5m2!4m1!1i2!8m2!3d18.514898!4d73.8284566?authuser=0&hl=en&rclk=1,4.1,3,"57/1 B, Kanchan Galli, Law College Rd, Pune, Maharashtra 411004",2354,Free breakfast,Air-conditioned,Breakfast,Restaurant
Maharashtra,Pune,"4,11,004",H,Hotel Raviraj,"18.51809284749254, 73.83627629056872",https://www.google.com/maps/place/Hotel+Raviraj/data=!4m8!3m7!1s0x3bc2bf860a89b48b:0xfdfcc681b8ae57ba!5m2!4m1!1i2!8m2!3d18.517925!4d73.8362602?authuser=0&hl=en&rclk=1,3.7,2,"790 Plot, Bhandarkar Rd, Shreeman Society, Deccan Gymkhana, Pune, Maharashtra 411004",1563,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,004",H,Hotel Ashish Plaza,"18.52409887952161, 73.841730988721",https://www.google.com/maps/place/Hotel+Ashish+Plaza/data=!4m8!3m7!1s0x3bc2bfce41584363:0x4fde4c98f509588a!5m2!4m1!1i2!8m2!3d18.52387!4d73.84179?authuser=0&hl=en&rclk=1,2.2,3,"1198, Fergusson College Rd, Shivajinagar, Pune, Maharashtra 411004",1613,Free parking,Free breakfast,Air-conditioned,Breakfast
Maharashtra,Pune,"4,11,014",H,Novotel Pune Nagar Road,"18.559132765354768, 73.9107994040632",https://www.google.com/maps/place/Novotel+Pune+Nagar+Road/data=!4m8!3m7!1s0x3bc2c13f953dc837:0xb6782032b34e422e!5m2!4m1!1i2!8m2!3d18.5589853!4d73.9108155?authuser=0&hl=en&rclk=1,4.4,5,"Weikfield It City Infopark, Nagar Rd, Pune, Maharashtra 411014",3742,Pool,Free parking,Free breakfast,Free Wi-Fi
Maharashtra,Pune,"4,11,004",H,Hotel Poonam,"18.5165765958493, 73.84337897707505",https://www.google.com/maps/place/Hotel+Poonam/data=!4m8!3m7!1s0x3bc2c0778c043a93:0x5b9868d26d83ce23!5m2!4m1!1i2!8m2!3d18.5163884!4d73.8433307?authuser=0&hl=en&rclk=1,3.8,2,"629/3, Beside Deccan PMT Bus Stop Pulachiwadi Road Deccan Gymkhana, Shivajinagar, Pune, Maharashtra 411004",1737,Free breakfast,Air-conditioned,Breakfast,Restaurant
Maharashtra,Pune,"4,11,045",H,The Orchid Hotel Pune,"18.570871595599165, 73.76422010775904",https://www.google.com/maps/place/The+Orchid+Hotel+Pune/data=!4m8!3m7!1s0x3bc2b94cf570f5c7:0xddf5a0f6e9e457b8!5m2!4m1!1i2!8m2!3d18.5707038!4d73.764086?authuser=0&hl=en&rclk=1,4.1,5,"Adjacent Chhatrapati Shivaji Sports Complex, Pune-Banglore Road, Balewadi, Pune, Maharashtra 411045",3988,Pool,Spa,Free parking,Free Wi-Fi
Maharashtra,Pune,"4,11,043",H,OYO 30324 Hotel Ravikiran,"18.467078179389627, 73.85813403289721",https://www.google.com/maps/place/OYO+30324+Hotel+Ravikiran/data=!4m8!3m7!1s0x3bc2ebda2d9f822f:0xe94bdaa0d1904e8b!5m2!4m1!1i2!8m2!3d18.4668594!4d73.8581394?authuser=0&hl=en&rclk=1,3.5,3,"Hotel Ravi kiran, Pune - Satara Rd, Balaji Nagar, Dhankawadi, Pune, Maharashtra 411043",1620,Air-conditioned,Breakfast,Wi-Fi,
